"AA_estimate","A0_estimate","A1_estimate","AA_se","A0_se","A1_se"
0.236583804014482,0.195958320426867,0.249303448196009,0.153698418302154,0.0876543236032666,0.126019290207026
0.207114915340254,0.180359195187673,0.22151911263206,0.129902244634068,0.094121658286557,0.0897039184970903
0.224930079645298,0.189720216726243,0.250243528852856,0.133312781166231,0.0908309388800512,0.097492595934699
0.210694197436583,0.176823287643387,0.23398119997905,0.113844973755117,0.0913636597694391,0.0685827850246269
0.25323913604934,0.213942522394433,0.241540632128569,0.202758357249912,0.107717421935523,0.170672257878632
0.25390925487036,0.216496776060527,0.246964921932592,0.155089709951906,0.102517933110339,0.116234539844785
0.231039734482428,0.187057858066169,0.246759485211049,0.126739216745753,0.0817882227563567,0.0969045447374149
0.211390552974411,0.182337671313289,0.219018656576323,0.102138939532814,0.0783708432644072,0.0663392126948505
0.244209821123293,0.20560396209868,0.247588500424436,0.171001575079207,0.101635912130951,0.137687061480419
0.242469060101616,0.214461884108529,0.252040235719399,0.141979738606308,0.0927533532124484,0.107496651960745
0.238460073784295,0.207349470963202,0.243058014843741,0.148678281432111,0.117510359203475,0.0912314461501887
0.231550239196951,0.196120425949174,0.245232728120566,0.125915513250167,0.0934979846947634,0.0846822452269722
0.235034925810674,0.195180991896604,0.254113750547001,0.135864178034915,0.0963919384698653,0.0955775530207432
0.240185344441484,0.199157523044386,0.240742639991114,0.155530172965691,0.0903364516738372,0.12649858060164
0.227836305431343,0.188292878924612,0.24620567193244,0.129512413918337,0.0869779557788186,0.0965042693408474
0.232319572811364,0.214565116089387,0.23442020289684,0.129962905197706,0.0888258035736395,0.0953258826957983
0.221130121179158,0.195340014892959,0.230082219258604,0.126395001969885,0.106814495181043,0.0688583041003729
0.207227260459481,0.177430131407504,0.236141501679567,0.102508141583059,0.0754365938801792,0.0699530752376012
0.218130271516363,0.187391381632529,0.230177691309335,0.108378273860023,0.0754935319780583,0.0778529979437451
0.238554235135205,0.20587470393903,0.245528188323616,0.152648480421989,0.0974070343191452,0.117566166652925
0.224731194694641,0.186295263586474,0.251035689416728,0.115231245989652,0.0947946803856297,0.0664421107743009
0.21864648274772,0.187286566723504,0.243407830068627,0.129572795542266,0.0835101062661526,0.0994574142685437
0.209757303736183,0.174850771029146,0.2330598599038,0.10660153233845,0.0702635765136242,0.0807179168440453
0.214144195079472,0.199150916625368,0.223714955956154,0.112552982859257,0.089209714302671,0.0696607415824992
0.235198660142368,0.196289956901875,0.237931367924146,0.130468206851892,0.0875068389171981,0.0969997212819502
0.207128626733246,0.178949713149866,0.235712825732155,0.118364651175885,0.0985217457651278,0.0665363464549449
0.220059515738334,0.195289624208569,0.23884240561708,0.104846022075851,0.084597812306741,0.0635122437359793
0.228109369233733,0.199765486816252,0.234309630778277,0.143159607336031,0.113332410476251,0.087999095868618
0.252871735107096,0.200425037026882,0.260640181231409,0.166182568328217,0.0890332230059226,0.140173222161805
0.222207419406712,0.189115730671443,0.229237791436592,0.124936301499578,0.0827891789371857,0.0935023843198736
0.23595629402855,0.201475976651252,0.237496559369162,0.140717555686136,0.107798665170773,0.090594727672705
0.227268081353686,0.196209608680577,0.233292446543359,0.149881893338813,0.0880793438563349,0.120253342314398
0.206050271422002,0.182753135432238,0.223488397253722,0.0972018387411877,0.0731074617004543,0.065085018627234
0.231462463486499,0.188202454206015,0.240027379455375,0.144587623159881,0.109693377503435,0.09461844392114
0.251896770509844,0.207841378843614,0.252350420667631,0.215095155055271,0.0997160260396681,0.189727342262066
